Betas:
CE L	   231.5932 5   	     8E-6 % 8 	  1.9E-8 19 
CE L	   236.9606 9   	     0.1563 % 24 	  3.70E-4 6 
CE M	   237.6072 8   	     1.7E-6 % 17 	  4E-9 4 
CE N	   238.9843 9   	     4E-7 % 4 	  9E-10 9 
CE K	   239.15 18   	     5.0E-4 % 8 	  1.19E-6 19 
CE O	   239.303  	     6E-8 % 6 	  1.4E-10 14 
CE M	   242.9746 11   	     0.0351 % 6 	  8.53E-5 14 
CE L	   243.896 9   	     5.0E-4 % 14 	  1.2E-6 3 
CE N	   244.3517 12   	     0.00779 % 12 	  1.90E-5 3 
CE O	   244.6707 8   	     0.001052 % 16 	  2.57E-6 4 
CE K	   249.1045 18   	     0.00572 % 10 	  1.42E-5 3 
CE M	   249.910 9   	     1.1E-4 % 3 	  2.7E-7 8 
CE N	   251.287 9   	     2.5E-5 % 7 	  6.2E-8 19 
CE O	   251.606 9   	     3.6E-6 % 10 	  9E-9 3 
CE L	   262.10 6   	     1.12E-4 % 7 	  2.94E-7 19 
CE L	   267.68 4   	     4.14E-4 % 11 	  1.11E-6 3 
CE M	   268.12 6   	     2.52E-5 % 17 	  6.8E-8 4 
CE K	   269.30 13   	     3.77E-4 % 20 	  1.02E-6 5 
CE N	   269.49 6   	     5.6E-6 % 4 	  1.51E-8 10 
CE O	   269.81 6   	     7.6E-7 % 5 	  2.06E-9 14 
CE M	   273.70 4   	     8.9E-5 % 3 	  2.43E-7 7 
CE N	   275.07 4   	     2.02E-5 % 6 	  5.54E-8 16 
CE O	   275.39 4   	     3.02E-6 % 8 	  8.33E-9 23 
CE L	   278.24 18   	     1.14E-4 % 19 	  3.2E-7 5 
CE K	   282.58 5   	     0.00120 % 3 	  3.40E-6 8 
CE K	   283.75 8   	     9.2E-5 % 11 	  2.6E-7 3 
CE M	   284.26 18   	     2.5E-5 % 4 	  7.2E-8 12 
CE N	   285.63 18   	     5.6E-6 % 9 	  1.6E-8 3 
CE O	   285.95 18   	     7.7E-7 % 13 	  2.2E-9 4 
CE L	   288.2019 18   	     7.77E-4 % 13 	  2.24E-6 4 
CE K	   293.63 10   	     8.0E-4 % 3 	  2.36E-6 8 
CE M	   294.2159 19   	     1.66E-4 % 3 	  4.88E-7 9 
CE N	   295.5930 19   	     3.73E-5 % 6 	  1.104E-7 19 
CE O	   295.9120 17   	     5.48E-6 % 10 	  1.62E-8 3 
CE L	   308.39 13   	     8.1E-5 % 4 	  2.50E-7 13 
CE K	   310.43 5   	     5.0E-5 % 4 	  1.54E-7 11 
CE M	   314.41 13   	     1.80E-5 % 10 	  5.7E-8 3 
CE N	   315.78 13   	     4.01E-6 % 21 	  1.27E-8 7 
CE O	   316.10 13   	     5.5E-7 % 3 	  1.75E-9 9 
CE L	   321.67 5   	     1.63E-4 % 4 	  5.23E-7 13 
CE L	   322.84 8   	     1.24E-5 % 14 	  4.0E-8 5 
CE M	   327.69 5   	     3.47E-5 % 9 	  1.14E-7 3 
CE M	   328.86 8   	     2.6E-6 % 3 	  8.7E-9 10 
CE N	   329.06 5   	     7.82E-6 % 19 	  2.57E-8 6 
CE O	   329.38 5   	     1.15E-6 % 3 	  3.79E-9 9 
CE N	   330.23 8   	     5.9E-7 % 7 	  1.96E-9 23 
CE O	   330.55 8   	     8.8E-8 % 10 	  2.9E-10 3 
CE L	   332.72 10   	     1.65E-4 % 6 	  5.50E-7 18 
CE M	   338.74 10   	     3.67E-5 % 12 	  1.24E-7 4 
CE K	   338.78 21   	     1.6E-4 % 4 	  5.3E-7 15 
CE N	   340.11 10   	     8.2E-6 % 3 	  2.79E-8 10 
CE O	   340.43 10   	     1.14E-6 % 4 	  3.87E-9 13 
CE L	   349.52 5   	     6.7E-6 % 5 	  2.33E-8 17 
CE M	   355.54 5   	     1.42E-6 % 10 	  5.1E-9 4 
CE N	   356.91 5   	     3.20E-7 % 23 	  1.14E-9 8 
CE O	   357.23 5   	     4.7E-8 % 3 	  1.69E-10 12 
CE K	   369.19 3   	     6.14E-4 % 14 	  2.27E-6 5 
CE K	   376.62 4   	     6.6E-5 % 18 	  2.5E-7 7 
CE L	   377.87 21   	     2.5E-5 % 3 	  9.4E-8 11 
CE M	   383.89 21   	     5.4E-6 % 5 	  2.07E-8 19 
CE N	   385.26 21   	     1.22E-6 % 12 	  4.7E-9 5 
CE O	   385.58 21   	     1.78E-7 % 24 	  6.9E-10 9 
CE K	   397.1264 17   	     0.0144 % 4 	  5.74E-5 16 
CE K	   397.18 17   	     0.00429 % 17 	  1.70E-5 7 
CE L	   408.28 3   	     8.21E-5 % 19 	  3.35E-7 8 
CE M	   414.30 3   	     1.75E-5 % 4 	  7.25E-8 16 
CE N	   415.67 3   	     3.95E-6 % 9 	  1.64E-8 4 
CE L	   415.71 4   	     1.01E-5 % 17 	  4.2E-8 7 
CE O	   415.99 3   	     5.83E-7 % 13 	  2.42E-9 6 
CE M	   421.73 4   	     2.2E-6 % 3 	  9.3E-9 12 
CE N	   423.10 4   	     5.0E-7 % 7 	  2.1E-9 3 
CE O	   423.42 4   	     7.1E-8 % 13 	  3.0E-10 5 
CE K	   435.50 5   	     0.0013 % 3 	  5.8E-6 13 
CE L	   436.2238 17   	     0.00194 % 6 	  8.5E-6 3 
CE L	   436.27 17   	     7.7E-4 % 3 	  3.37E-6 13 
CE K	   441.8450 21   	     0.00474 % 8 	  2.09E-5 4 
CE M	   442.2378 18   	     4.16E-4 % 14 	  1.84E-6 6 
CE M	   442.29 17   	     1.69E-4 % 7 	  7.5E-7 3 
CE N	   443.6149 18   	     9.4E-5 % 3 	  4.15E-7 14 
CE N	   443.66 17   	     3.79E-5 % 15 	  1.68E-7 7 
