============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  15 um) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  199  2 .1089530E+07   1500013E-01 -.1176E+04  .1694E+04   .9992492  .0072449  .0380608
T  200  2 .1062902E+07   1500018E-01 -.7187E+04  .7529E+04   .9974255 -.0455312  .0554010
T  201  2 .1123277E+07   1500000E-01  .3255E+03 -.1388E+04   .9994773 -.0313464  .0079022
T  202  2 .1067740E+07   1500026E-01 -.3552E+04  .1076E+04   .9989561  .0267971  .0369962
T  203  2 .1016774E+07   1500008E-01 -.1051E+04 -.3160E+04   .9989472 -.0123500 -.0441805
T  204  2 .1168513E+07   1500017E-01  .6447E+03  .5887E+03   .9929482 -.0276505  .1152798
T  205  2 .1169527E+07   1500016E-01  .3967E+04  .4558E+04   .9958323  .0627125  .0662208
T  206  2 .1161051E+07   1500023E-01  .6749E+04  .2099E+04   .9900825  .1259339  .0622673
T  207  2 .1175483E+07   1500024E-01  .7485E+04  .1675E+04   .9953606  .0952903 -.0133095
T  208  2 .1137756E+07   1500014E-01  .5631E+03 -.4117E+04   .9989957 -.0010548 -.0447930
T  209  2 .1129893E+07   1500005E-01 -.6176E+02 -.3693E+04   .9982977  .0235625 -.0533519
T  210  2 .1086888E+07   1500015E-01 -.7616E+03 -.8305E+03   .9996641  .0164581 -.0200198
T  211  2 .1198981E+07   1500019E-01  .2036E+02 -.8147E+03   .9993249 -.0353422  .0100349
T  212  2 .1116321E+07   1500025E-01 -.2044E+03  .4614E+04   .9995720  .0269876  .0112921
T  213  2 .1159034E+07   1500024E-01 -.4039E+04 -.6150E+02   .9946766 -.0857645  .0571221
T  214  2 .1223550E+07   1500000E-01 -.5467E+04 -.2651E+04   .9983332 -.0574761 -.0052316
T  215  2 .1075788E+07   1500020E-01  .2947E+03 -.1820E+04   .9951604 -.0448939 -.0874090
T  216  2 .1102211E+07   1500003E-01 -.5382E+04 -.2835E+04   .9983630 -.0518529 -.0241366
T  217  2 .1095639E+07   1500020E-01 -.3411E+04 -.4007E+04   .9972789 -.0694982  .0245943
T  218  2 .8554476E+06   1500024E-01  .1460E+05  .1078E+05   .9599199  .1859157  .2097358
T  219  2 .1066619E+07   1500018E-01  .3982E+03 -.1075E+05   .8691562 -.1811565 -.4601627
T  220  2 .1151668E+07   1500014E-01 -.3264E+03 -.2473E+04   .9994049  .0257660  .0229351
T  221  2 .1219043E+07   1500013E-01 -.1998E+04  .4447E+04   .9940705 -.1087316 -.0011551
T  222  2 .1046521E+07   1500013E-01  .1834E+04  .5051E+03   .9937382  .0418216  .1036113
T  223  2 .1117944E+07   1500003E-01  .6368E+03 -.3803E+04   .9934664  .0274845 -.1107662
T  224  2 .1078234E+07   1500011E-01  .9250E+03  .1715E+04   .9984984 -.0336921 -.0431942
T  225  2 .9975952E+06   1500003E-01 -.1611E+04 -.4591E+03   .9991083 -.0124404 -.0403467
T  226  2 .1135254E+07   1500001E-01 -.2474E+04  .5250E+03   .9994752 -.0293253 -.0137640
T  227  2 .1116918E+07   1500025E-01  .2235E+03  .7107E+03   .9978131 -.0372735  .0545863
T  228  2 .1108445E+07   1500007E-01  .5923E+04  .3343E+04   .9981785  .0600860  .0054242
T  229  2 .1285256E+07   1500000E-01  .3427E+03  .1970E+04   .9988843 -.0352751  .0313988
T  230  2 .1216764E+07   1500013E-01 -.5351E+04  .2957E+04   .9996320  .0260491  .0075762
T  231  2 .1004361E+07   1500007E-01  .4341E+04 -.1203E+04   .9979789  .0222115 -.0595381
T  232  2 .1112072E+07   1500024E-01 -.2102E+04  .4309E+03   .9999516 -.0048377  .0085665
